
2025/10/17 (06:43:26) | ===> btop++ v.1.3.0
2025/10/17 (06:53:31) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:35) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:37) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:39) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:41) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:43) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:45) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:49) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:54:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:54:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
